时间,时间维度,南方电网,广东,广西,云南,海南,贵州,天生桥及龙滩,指标单位
2019-03-25,日,930216.00000000,100166.00000000,120147.00000000,523271.00000000,6476.00000000,98384.00000000,81772.00000000,MWh
2019-03-26,日,925345.00000000,98035.00000000,114031.00000000,523829.00000000,5978.00000000,99883.00000000,83589.00000000,MWh
2019-03-27,日,962207.00000000,90279.00000000,111787.00000000,567734.00000000,6164.00000000,96243.00000000,90000.00000000,MWh
2019-03-28,日,1000781.00000000,85375.00000000,118943.00000000,605977.00000000,6581.00000000,95429.00000000,88476.00000000,MWh
2019-03-29,日,979162.00000000,87379.00000000,120035.00000000,575254.00000000,5596.00000000,95040.00000000,95858.00000000,MWh
2019-03-30,日,935305.00000000,92787.00000000,117817.00000000,538656.00000000,5799.00000000,88530.00000000,91716.00000000,MWh
2019-03-31,日,934493.00000000,92556.00000000,116552.00000000,542259.00000000,4599.00000000,92263.00000000,86264.00000000,MWh
2019-04-01,日,933123.00000000,97533.00000000,116900.00000000,522538.00000000,3932.00000000,104167.00000000,88053.00000000,MWh
2019-04-02,日,905769.00000000,93525.00000000,125260.00000000,476495.00000000,4376.00000000,109195.00000000,96918.00000000,MWh
2019-04-03,日,958407.00000000,93801.00000000,129396.00000000,515651.00000000,4915.00000000,117608.00000000,97036.00000000,MWh
2019-04-04,日,931387.00000000,85166.00000000,132206.00000000,500275.00000000,5226.00000000,117608.00000000,90906.00000000,MWh
2019-04-05,日,837750.00000000,80266.00000000,114441.00000000,473779.00000000,5564.00000000,86082.00000000,77617.00000000,MWh
2019-04-06,日,842311.00000000,77672.00000000,116730.00000000,491405.00000000,5704.00000000,88421.00000000,62379.00000000,MWh
2019-04-07,日,877128.00000000,71067.00000000,117294.00000000,505219.00000000,7207.00000000,93359.00000000,82982.00000000,MWh
2019-04-08,日,838496.00000000,68672.00000000,114150.00000000,466801.00000000,6839.00000000,86709.00000000,95325.00000000,MWh
2019-04-09,日,930278.00000000,63949.00000000,121728.00000000,541490.00000000,7276.00000000,97072.00000000,98763.00000000,MWh
2019-04-10,日,905466.00000000,62248.00000000,124817.00000000,510005.00000000,7642.00000000,102538.00000000,98216.00000000,MWh
2019-04-11,日,904013.00000000,66873.00000000,121319.00000000,510366.00000000,6877.00000000,99719.00000000,98859.00000000,MWh
2019-04-12,日,869172.00000000,75937.00000000,117166.00000000,473504.00000000,6915.00000000,100663.00000000,94987.00000000,MWh
2019-04-13,日,885457.00000000,77515.00000000,120491.00000000,494951.00000000,5975.00000000,96781.00000000,89744.00000000,MWh
2019-04-14,日,901031.00000000,98292.00000000,121144.00000000,491740.00000000,5450.00000000,93587.00000000,90818.00000000,MWh
2019-04-15,日,912357.00000000,100825.00000000,122740.00000000,492522.00000000,4940.00000000,99885.00000000,91445.00000000,MWh
2019-04-16,日,990675.00000000,113421.00000000,123237.00000000,562923.00000000,6325.00000000,94127.00000000,90642.00000000,MWh
2019-04-17,日,1019738.00000000,109789.00000000,128706.00000000,605416.00000000,6184.00000000,82935.00000000,86708.00000000,MWh
