时间,时间维度,南方电网,广东,广西,云南,海南,贵州,天生桥及龙滩 ,指标单位
2017-11-08,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-09,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-10,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-11,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-12,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-13,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-14,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-15,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-16,日,101832.00000000,9171.00000000,9269.00000000,59120.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-17,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-18,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-19,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-20,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-21,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-22,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-23,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-24,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-25,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-26,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-27,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-28,日,85895.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,0.00000000,"7420.00000000	",MWh
2017-11-29,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-30,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-01,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-02,日,103246.00000000,9171.00000000,9269.00000000,60534.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-03,日,103246.00000000,9171.00000000,9269.00000000,60534.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-04,日,103246.00000000,9171.00000000,9269.00000000,60534.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-05,日,101866.00000000,9171.00000000,9269.00000000,59154.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-06,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-07,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-10,日,42712.00000000,9171.00000000,9269.00000000,0.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-11,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-12,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-13,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-14,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-15,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-16,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-17,日,102216.00000000,9171.00000000,9269.00000000,59504.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-18,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-19,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-20,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-21,日,86249.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,0.00000000,"7420.00000000	",MWh
2017-12-22,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-23,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-24,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-25,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-26,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-27,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-28,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-29,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-12-30,日,86249.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,0.00000000,"7420.00000000	",MWh
2017-12-31,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2018-01-01,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2018-01-02,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-03,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-04,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-05,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-06,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-07,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2018-01-08,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-09,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-10,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-11,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-12,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-13,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-14,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-15,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-16,日,75195.40000000,2913.00000000,7586.50000000,51508.00000000,516.60000000,12671.30000000,"0.00000000	",MWh
2018-01-17,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-18,日,102220.00000000,9171.00000000,9269.00000000,59508.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2018-01-19,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-20,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-21,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-22,日,75321.40000000,2579.00000000,7556.50000000,51508.00000000,506.60000000,13171.30000000,"0.00000000	",MWh
2018-01-23,日,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,"0.00000000	",MWh
2018-01-24,日,75145.40000000,2443.00000000,7506.50000000,51508.00000000,516.60000000,13171.30000000,"0.00000000	",MWh
2018-01-25,日,73058.40000000,2336.00000000,7526.50000000,49508.00000000,516.60000000,13171.30000000,"0.00000000	",MWh
2018-01-26,日,7932.80000000,2226.80000000,1190.00000000,800.00000000,16.00000000,3700.00000000,"0.00000000	",MWh
2018-01-27,日,7329.80000000,2078.80000000,535.00000000,800.00000000,16.00000000,3900.00000000,"0.00000000	",MWh
2018-01-28,日,8596.80000000,1980.80000000,2200.00000000,800.00000000,16.00000000,3600.00000000,"0.00000000	",MWh
2018-01-29,日,8597.80000000,1831.80000000,2050.00000000,800.00000000,16.00000000,3900.00000000,"0.00000000	",MWh
2018-01-30,日,10666.80000000,2760.80000000,2990.00000000,1000.00000000,16.00000000,3900.00000000,"0.00000000	",MWh
2018-01-31,日,11037.80000000,3031.80000000,3090.00000000,1000.00000000,16.00000000,3900.00000000,"0.00000000	",MWh
2018-02-01,日,11980.80000000,4844.80000000,3220.00000000,0.00000000,16.00000000,3900.00000000,"0.00000000	",MWh
2018-02-02,日,13392.80000000,4796.80000000,3380.00000000,1000.00000000,16.00000000,4200.00000000,"0.00000000	",MWh
2018-02-03,日,11372.80000000,4136.80000000,2420.00000000,800.00000000,16.00000000,4000.00000000,"0.00000000	",MWh
2018-02-04,日,8883.80000000,4067.80000000,0.00000000,800.00000000,16.00000000,4000.00000000,"0.00000000	",MWh
2018-02-05,日,12383.80000000,4067.80000000,3500.00000000,800.00000000,16.00000000,4000.00000000,"0.00000000	",MWh
2018-02-06,日,10398.80000000,2142.80000000,3240.00000000,800.00000000,16.00000000,4200.00000000,"0.00000000	",MWh
2018-02-07,日,8724.80000000,538.80000000,2570.00000000,800.00000000,16.00000000,4800.00000000,"0.00000000	",MWh
2018-02-08,日,9322.80000000,1106.80000000,2570.00000000,800.00000000,16.00000000,4830.00000000,"0.00000000	",MWh
2018-02-09,日,8697.80000000,1261.80000000,2190.00000000,800.00000000,16.00000000,4430.00000000,"0.00000000	",MWh
2018-02-10,日,8779.80000000,1159.80000000,2490.00000000,800.00000000,0.00000000,4330.00000000,"0.00000000	",MWh
2018-02-11,日,9473.80000000,1317.80000000,3010.00000000,800.00000000,16.00000000,4330.00000000,"0.00000000	",MWh
2018-02-12,日,9093.80000000,1317.80000000,2610.00000000,800.00000000,366.00000000,4000.00000000,"0.00000000	",MWh
2018-02-13,日,8684.80000000,1553.80000000,1765.00000000,1000.00000000,366.00000000,4000.00000000,"0.00000000	",MWh
2018-02-14,日,10445.80000000,2934.80000000,2445.00000000,1100.00000000,366.00000000,3600.00000000,"0.00000000	",MWh
2018-02-15,日,9959.80000000,3058.80000000,2435.00000000,500.00000000,366.00000000,3600.00000000,"0.00000000	",MWh
2018-02-16,日,10018.80000000,3037.80000000,2415.00000000,500.00000000,366.00000000,3700.00000000,"0.00000000	",MWh
2018-02-17,日,9987.80000000,3006.80000000,2415.00000000,500.00000000,366.00000000,3700.00000000,"0.00000000	",MWh
2018-02-18,日,10504.80000000,3503.80000000,2435.00000000,500.00000000,366.00000000,3700.00000000,"0.00000000	",MWh
2018-02-19,日,10354.80000000,3013.80000000,2475.00000000,800.00000000,366.00000000,3700.00000000,"0.00000000	",MWh
2018-02-20,日,10509.80000000,3228.80000000,2415.00000000,800.00000000,366.00000000,3700.00000000,"0.00000000	",MWh
2018-02-21,日,10600.80000000,3319.80000000,2415.00000000,800.00000000,366.00000000,3700.00000000,"0.00000000	",MWh
2018-02-22,日,10983.80000000,3682.80000000,2435.00000000,800.00000000,366.00000000,3700.00000000,"0.00000000	",MWh
2018-02-23,日,11103.80000000,3742.80000000,2435.00000000,500.00000000,366.00000000,4060.00000000,"0.00000000	",MWh
2018-02-24,日,10407.80000000,3686.80000000,2505.00000000,0.00000000,716.00000000,3500.00000000,"0.00000000	",MWh
2018-02-25,日,10665.80000000,2644.80000000,2505.00000000,800.00000000,716.00000000,4000.00000000,"0.00000000	",MWh
2018-02-26,日,11496.80000000,3025.80000000,2505.00000000,1300.00000000,366.00000000,4300.00000000,"0.00000000	",MWh
2018-02-27,日,8408.80000000,1737.80000000,2505.00000000,0.00000000,366.00000000,3800.00000000,"0.00000000	",MWh
2018-02-28,日,9977.80000000,2016.80000000,2435.00000000,1000.00000000,626.00000000,3900.00000000,"0.00000000	",MWh
2018-03-01,日,8652.80000000,1391.80000000,2435.00000000,600.00000000,626.00000000,3600.00000000,"0.00000000	",MWh
2018-03-02,日,8587.80000000,2026.80000000,2435.00000000,0.00000000,626.00000000,3500.00000000,"0.00000000	",MWh
2018-03-03,日,4444.80000000,1223.80000000,2135.00000000,0.00000000,626.00000000,460.00000000,"0.00000000	",MWh
2018-03-04,日,7679.80000000,1418.80000000,2435.00000000,700.00000000,626.00000000,2500.00000000,"0.00000000	",MWh
2018-03-05,日,8607.80000000,2956.80000000,2525.00000000,0.00000000,626.00000000,2500.00000000,"0.00000000	",MWh
2018-03-06,日,8293.80000000,1532.80000000,2435.00000000,1200.00000000,626.00000000,2500.00000000,"0.00000000	",MWh
2018-03-07,日,7489.80000000,1488.80000000,2075.00000000,1300.00000000,626.00000000,2000.00000000,"0.00000000	",MWh
2018-03-08,日,7286.80000000,1485.80000000,2075.00000000,800.00000000,626.00000000,2300.00000000,"0.00000000	",MWh
2018-03-09,日,6667.80000000,2126.80000000,1715.00000000,0.00000000,626.00000000,2200.00000000,"0.00000000	",MWh
2018-03-10,日,8511.80000000,2030.80000000,2055.00000000,1300.00000000,626.00000000,2500.00000000,"0.00000000	",MWh
