时间,时间维度,南方电网,广东,广西,云南,海南,贵州,广州,深圳,指标单位
2020-10-10,日,3329657.00000000,1893967.00000000,406491.00000000,532887.00000000,83355.00000000,358267.00000000,252058.00000000,268362.00000000,MWh
2020-10-11,日,3269715.00000000,1834646.00000000,409621.00000000,529908.00000000,82579.00000000,355434.00000000,244649.00000000,252449.00000000,MWh
2020-10-12,日,3444929.00000000,2002309.00000000,417456.00000000,535035.00000000,83217.00000000,352329.00000000,277463.00000000,292228.00000000,MWh
2020-10-13,日,3460442.00000000,2008961.00000000,421191.00000000,541879.00000000,80154.00000000,352249.00000000,276683.00000000,286154.00000000,MWh
2020-10-14,日,3407661.00000000,1974813.00000000,408156.00000000,544429.00000000,77364.00000000,350763.00000000,274855.00000000,281180.00000000,MWh
2020-10-15,日,3418212.00000000,1993861.00000000,404493.00000000,539767.00000000,81350.00000000,353005.00000000,280579.00000000,287328.00000000,MWh
2020-10-16,日,3418348.00000000,1985559.00000000,404429.00000000,544289.00000000,80842.00000000,360645.00000000,277676.00000000,294862.00000000,MWh
2020-10-17,日,3328336.00000000,1888621.00000000,403337.00000000,550065.00000000,76318.00000000,370087.00000000,251939.00000000,271110.00000000,MWh
2020-10-18,日,3153209.00000000,1717972.00000000,398555.00000000,548785.00000000,74020.00000000,376990.00000000,228133.00000000,235007.00000000,MWh
2020-10-19,日,3261159.00000000,1824090.00000000,406923.00000000,547126.00000000,76265.00000000,370808.00000000,246081.00000000,259476.00000000,MWh
2020-10-20,日,3330127.00000000,1871555.00000000,411841.00000000,547210.00000000,75229.00000000,383680.00000000,249222.00000000,266456.00000000,MWh
2020-10-21,日,3317391.00000000,1863726.00000000,415728.00000000,543920.00000000,76013.00000000,375746.00000000,247783.00000000,262804.00000000,MWh
2020-10-22,日,3329568.00000000,1862481.00000000,437013.00000000,543952.00000000,76125.00000000,367482.00000000,246954.00000000,262010.00000000,MWh
2020-10-23,日,3259836.00000000,1803941.00000000,419331.00000000,547035.00000000,76475.00000000,367476.00000000,244839.00000000,254958.00000000,MWh
2020-10-24,日,3232228.00000000,1774464.00000000,427441.00000000,551268.00000000,72938.00000000,362887.00000000,236088.00000000,242268.00000000,MWh
2020-10-25,日,3120375.00000000,1673865.00000000,420802.00000000,543769.00000000,73049.00000000,365537.00000000,224765.00000000,226027.00000000,MWh
2020-10-26,日,3337428.00000000,1860293.00000000,438483.00000000,545839.00000000,76595.00000000,370590.00000000,254234.00000000,263884.00000000,MWh
2020-10-27,日,3411669.00000000,1924833.00000000,444470.00000000,546181.00000000,76706.00000000,371760.00000000,266942.00000000,277192.00000000,MWh
2020-10-28,日,3387908.00000000,1892357.00000000,440972.00000000,546789.00000000,76171.00000000,382582.00000000,267954.00000000,275005.00000000,MWh
2020-10-29,日,3333937.00000000,1853967.00000000,434112.00000000,542577.00000000,77903.00000000,377846.00000000,256854.00000000,268693.00000000,MWh
2020-10-30,日,3354483.00000000,1878338.00000000,432690.00000000,544483.00000000,76815.00000000,376184.00000000,251278.00000000,268371.00000000,MWh
2020-10-31,日,3273112.00000000,1793451.00000000,434287.00000000,543483.00000000,75641.00000000,384092.00000000,240343.00000000,245796.00000000,MWh
2020-11-01,日,3036849.00000000,1579145.00000000,427146.00000000,528088.00000000,75022.00000000,388462.00000000,222249.00000000,215749.00000000,MWh
2020-11-02,日,3247350.00000000,1762936.00000000,429405.00000000,541431.00000000,77451.00000000,395514.00000000,248245.00000000,253987.00000000,MWh
2020-11-03,日,3299878.00000000,1810268.00000000,428174.00000000,548214.00000000,76840.00000000,396582.00000000,247718.00000000,258423.00000000,MWh
2020-11-04,日,3344146.00000000,1830609.00000000,439059.00000000,550096.00000000,77000.00000000,408143.00000000,246847.00000000,260582.00000000,MWh
2020-11-05,日,3376420.00000000,1850214.00000000,444961.00000000,545276.00000000,77259.00000000,418006.00000000,250478.00000000,260476.00000000,MWh
2020-11-06,日,3407525.00000000,1885283.00000000,445568.00000000,544798.00000000,78491.00000000,413580.00000000,254676.00000000,265494.00000000,MWh
2020-11-07,日,3341826.00000000,1845861.00000000,434431.00000000,545585.00000000,75954.00000000,400722.00000000,249531.00000000,257869.00000000,MWh
2020-11-08,日,3159971.00000000,1684761.00000000,429092.00000000,549377.00000000,77776.00000000,384398.00000000,232533.00000000,231572.00000000,MWh
2020-11-09,日,3286878.00000000,1786405.00000000,429892.00000000,556390.00000000,78376.00000000,397914.00000000,246429.00000000,254399.00000000,MWh
2020-11-10,日,3333736.00000000,1821614.00000000,437531.00000000,555841.00000000,78164.00000000,403400.00000000,247114.00000000,255703.00000000,MWh
2020-11-11,日,3343962.00000000,1833552.00000000,441609.00000000,552776.00000000,78220.00000000,403960.00000000,246449.00000000,256862.00000000,MWh
2020-11-12,日,3350264.00000000,1840395.00000000,441907.00000000,552150.00000000,77676.00000000,404416.00000000,247157.00000000,256193.00000000,MWh
2020-11-13,日,3330157.00000000,1829493.00000000,436537.00000000,551456.00000000,77869.00000000,401570.00000000,247124.00000000,254808.00000000,MWh
2020-11-14,日,3286575.00000000,1783307.00000000,440589.00000000,554320.00000000,76403.00000000,401656.00000000,241440.00000000,243528.00000000,MWh
2020-11-15,日,3145227.00000000,1651223.00000000,442584.00000000,555197.00000000,73756.00000000,397030.00000000,219391.00000000,217718.00000000,MWh
2020-11-16,日,3304459.00000000,1876046.00000000,451420.00000000,554006.00000000,77731.00000000,387269.00000000,248670.00000000,254595.00000000,MWh
2020-11-17,日,3377497.00000000,1890848.00000000,448802.00000000,549499.00000000,79132.00000000,377019.00000000,255315.00000000,266183.00000000,MWh
2020-11-18,日,3436746.00000000,1931824.00000000,453146.00000000,552613.00000000,81564.00000000,385452.00000000,266602.00000000,276052.00000000,MWh
