时间,时间维度,南方电网,广东,广西,云南,海南,贵州,"天生桥及龙滩	",指标单位
2021-02-26,日,2383721.00000000,796595.00000000,294137.00000000,657872.00000000,44407.00000000,530245.00000000,60465.00000000,MWh
2021-02-27,日,2435473.00000000,810710.00000000,310919.00000000,659898.00000000,45246.00000000,552355.00000000,56345.00000000,MWh
2021-02-28,日,2389420.00000000,744210.00000000,319996.00000000,673144.00000000,45094.00000000,550961.00000000,56015.00000000,MWh
2021-03-01,日,2493950.00000000,824398.00000000,319502.00000000,685759.00000000,42686.00000000,563375.00000000,58230.00000000,MWh
2021-03-02,日,2549549.00000000,862080.00000000,321943.00000000,695717.00000000,40338.00000000,574479.00000000,54992.00000000,MWh
2021-03-03,日,2631211.00000000,899818.00000000,350859.00000000,699709.00000000,38688.00000000,580986.00000000,61151.00000000,MWh
2021-03-04,日,2675996.00000000,930737.00000000,353896.00000000,701210.00000000,39443.00000000,588976.00000000,61734.00000000,MWh
2021-03-05,日,2678742.00000000,945571.00000000,353143.00000000,697400.00000000,42360.00000000,582425.00000000,57843.00000000,MWh
2021-03-06,日,2684061.00000000,971221.00000000,348364.00000000,699005.00000000,40634.00000000,571407.00000000,53430.00000000,MWh
2021-03-07,日,2581629.00000000,873329.00000000,352289.00000000,681388.00000000,38365.00000000,583169.00000000,53089.00000000,MWh
2021-03-08,日,2653576.00000000,913074.00000000,362261.00000000,699859.00000000,38381.00000000,581310.00000000,58691.00000000,MWh
2021-03-09,日,2743896.00000000,985392.00000000,374921.00000000,707987.00000000,39160.00000000,580089.00000000,56347.00000000,MWh
2021-03-10,日,2734030.00000000,977949.00000000,368943.00000000,696406.00000000,40145.00000000,594491.00000000,56096.00000000,MWh
2021-03-11,日,2730548.00000000,986721.00000000,370235.00000000,696334.00000000,41186.00000000,577370.00000000,58702.00000000,MWh
2021-03-12,日,2742107.00000000,1019473.00000000,366717.00000000,707767.00000000,42415.00000000,543932.00000000,61803.00000000,MWh
2021-03-13,日,2700555.00000000,1019650.00000000,361942.00000000,702423.00000000,38041.00000000,520140.00000000,58359.00000000,MWh
2021-03-14,日,2545030.00000000,905837.00000000,342430.00000000,698776.00000000,37964.00000000,501120.00000000,58903.00000000,MWh
2021-03-15,日,2626175.00000000,949638.00000000,374312.00000000,715880.00000000,42234.00000000,484812.00000000,59299.00000000,MWh
2021-03-16,日,2676601.00000000,1016127.00000000,373360.00000000,713235.00000000,40329.00000000,475715.00000000,57835.00000000,MWh
2021-03-17,日,2710454.00000000,1051027.00000000,371971.00000000,717996.00000000,41038.00000000,467835.00000000,60587.00000000,MWh
2021-03-18,日,2722962.00000000,1067103.00000000,372162.00000000,711114.00000000,42359.00000000,472295.00000000,57929.00000000,MWh
2021-03-19,日,2752554.00000000,1057009.00000000,374277.00000000,713991.00000000,43387.00000000,507670.00000000,56220.00000000,MWh
2021-03-20,日,2752111.00000000,1016152.00000000,378154.00000000,718607.00000000,43669.00000000,530952.00000000,65172.00000000,MWh
2021-03-21,日,2606733.00000000,890585.00000000,359062.40000000,720521.00000000,41324.00000000,546903.00000000,52142.00000000,MWh
2021-03-22,日,2679590.00000000,920344.00000000,378107.00000000,734973.00000000,39698.00000000,553578.00000000,52890.00000000,MWh
2021-03-23,日,2701479.00000000,942733.00000000,379508.00000000,733467.00000000,39366.00000000,546039.00000000,60366.00000000,MWh
2021-03-24,日,2673059.00000000,945795.00000000,378931.00000000,723218.00000000,42212.00000000,521664.00000000,61239.00000000,MWh
2021-03-25,日,2701891.00000000,975045.00000000,368808.00000000,728504.00000000,43247.00000000,530078.00000000,56209.00000000,MWh
2021-03-26,日,2707054.00000000,987016.00000000,384226.00000000,729666.00000000,44190.00000000,512907.00000000,49049.00000000,MWh
2021-03-27,日,2685459.00000000,987804.00000000,363843.00000000,731305.00000000,41876.00000000,511280.00000000,49351.00000000,MWh
2021-03-28,日,2641025.00000000,976219.00000000,376105.00000000,708819.00000000,43396.00000000,487286.00000000,49200.00000000,MWh
