时间,时间维度,南方电网,广东,广西,云南,广州,深圳,海南,贵州,指标单位
2021-03-12,日,169886.00000000,94591.00000000,23333.00000000,26776.00000000,12958.00000000,12927.00000000,4643.00000000,21545.00000000,MWh
2021-03-13,日,164739.00000000,91529.00000000,23126.00000000,26940.00000000,12025.00000000,11991.00000000,4610.00000000,20569.00000000,MWh
2021-03-14,日,153530.00000000,81650.00000000,22532.00000000,26640.00000000,11383.00000000,10526.00000000,4537.00000000,19606.00000000,MWh
2021-03-15,日,168187.00000000,93929.00000000,23717.00000000,26735.00000000,12943.00000000,12930.00000000,4636.00000000,19190.00000000,MWh
2021-03-16,日,168658.00000000,95363.00000000,23541.00000000,26579.00000000,13012.00000000,13212.00000000,4697.00000000,18692.00000000,MWh
2021-03-17,日,169597.00000000,98146.00000000,23583.00000000,26809.00000000,13353.00000000,13691.00000000,4720.00000000,18240.00000000,MWh
2021-03-18,日,170657.00000000,99408.00000000,23534.00000000,26362.00000000,13843.00000000,13858.00000000,4763.00000000,18222.00000000,MWh
2021-03-19,日,172998.00000000,100000.00000000,23892.00000000,26542.00000000,13716.00000000,14052.00000000,4792.00000000,19044.00000000,MWh
2021-03-20,日,172232.00000000,97375.00000000,23906.00000000,26901.00000000,13030.00000000,13212.00000000,4767.00000000,20308.00000000,MWh
2021-03-21,日,159905.00000000,83519.00000000,24043.00000000,27790.00000000,11079.00000000,10355.00000000,4448.00000000,21710.00000000,MWh
2021-03-22,日,173225.00000000,93892.00000000,24616.00000000,27996.00000000,12563.00000000,12259.00000000,4433.00000000,21883.00000000,MWh
2021-03-23,日,170457.00000000,94870.00000000,24752.00000000,27535.00000000,12649.00000000,12357.00000000,4523.00000000,20695.00000000,MWh
2021-03-24,日,168484.00000000,94339.00000000,24011.00000000,26793.00000000,12735.00000000,12562.00000000,4560.00000000,19805.00000000,MWh
2021-03-25,日,170662.00000000,95146.00000000,24224.00000000,26837.00000000,12793.00000000,12722.00000000,4604.00000000,20407.00000000,MWh
2021-03-26,日,170411.00000000,95239.00000000,23751.00000000,26900.00000000,12889.00000000,12877.00000000,4708.00000000,20216.00000000,MWh
2021-03-27,日,168756.00000000,94632.00000000,23917.00000000,26527.00000000,12522.00000000,12567.00000000,4708.00000000,19613.00000000,MWh
2021-03-28,日,162004.00000000,89242.00000000,24126.00000000,27434.00000000,12292.00000000,11437.00000000,4696.00000000,19060.00000000,MWh
2021-03-29,日,174693.00000000,102364.00000000,24136.00000000,26818.00000000,14105.00000000,14299.00000000,4864.00000000,18463.00000000,MWh
2021-03-30,日,178751.00000000,105143.00000000,24151.00000000,26893.00000000,14623.00000000,14843.00000000,4995.00000000,18362.00000000,MWh
2021-03-31,日,176033.00000000,103523.00000000,24221.00000000,26537.00000000,14400.00000000,14693.00000000,5010.00000000,18186.00000000,MWh
2021-04-01,日,177376.00000000,104921.00000000,24047.00000000,26207.00000000,14553.00000000,15062.00000000,4924.00000000,18945.00000000,MWh
2021-04-02,日,178833.00000000,105594.00000000,24073.00000000,25970.00000000,14744.00000000,14962.00000000,4836.00000000,19527.00000000,MWh
